familyname	maxgap	sex
HERVK11I	0.3731169078486971	female
HERVK11I	0.29620165804810483	male
HERVK13I	0.02409563164091999	female
HERVK13I	0.024378887696949958	male
HERVK22I	0.6327906025311023	female
HERVK22I	1.2317294640647987	male
HERVK3I	0.24432181142119802	female
HERVK3I	0.19626583614950022	male
HERVK9I	1.6742415318569783	female
HERVK9I	1.5371384975070157	male
HERVKC4	0.17818498974232	female
HERVKC4	0.30248639159764057	male
HERVL	20.98023370417104	female
HERVL	25.038173837275963	male
HERVL_40	0.035859019113920976	female
HERVL_40	0.06819242954085203	male
HERVL66I	0.3658278144824969	female
HERVL66I	0.7242642850861998	male
HERVL68	0.058737489028626966	female
HERVL68	0.15813933907309696	male
HERVL74	0.0154852428478498	female
HERVL74	0.028568636049729923	male
HERVP71A_I	0.3872955101484017	female
HERVP71A_I	0.6759444275467033	male
HERVR	0.00011560348808360002	female
HERVR	0.0007811531745082001	male
HERVS71	0.15245700386829952	female
HERVS71	0.3581116593192988	male
HSATI	1716.0227811504628	female
HSATI	119.1720387144801	male
HSATII	5720.953534983302	female
HSATII	1734.5322834726976	male
HSFAU	0.13396535322850012	female
HSFAU	0.08018146964987016	male
HSMAR1	3.395598326584036	female
HSMAR1	2.660505355460998	male
HSMAR2	3.628765007208017	female
HSMAR2	2.835740331320949	male
HSTC2	0.03796515328880101	female
HSTC2	0.03816677949636904	male
HUERS-P1	0.6696089220108021	female
HUERS-P1	1.041184531975702	male
HUERS-P2	0.9225283169122989	female
HUERS-P2	1.8184055451331993	male
HUERS-P3	0.25377427752630055	female
HUERS-P3	0.28759488087149876	male
HUERS-P3B	0.20583227573050067	female
HUERS-P3B	0.5616060524127029	male
IN25	0.9567407130917971	female
IN25	0.2843405610676015	male
Kanga1	0.036230987005982984	female
Kanga1	0.016017434368914008	male
Kanga11a	0.05540013074196598	female
Kanga11a	0.021049306613868002	male
Kanga1d	0.00489886294008	female
Kanga1d	0.0033909329588448014	male
KANGA2_A	0.10151594675673015	female
KANGA2_A	0.03995130234282018	male
KER	0.06505070790915002	female
KER	0.07984822977182993	male
L1	128.34953234834984	female
L1	183.54309576804053	male
L1HS	80.32590408980013	female
L1HS	88.0283438939	male
L1M1_5	18.39799695553603	female
