study_accession	sample_accession	experiment_accession	run_accession	read_count	base_count	sample_alias
PRJEB6463	SAMEA2581151	ERX1367166	ERR1295834	69333690	10469387190	HGDP00102
PRJEB6463	SAMEA2581164	ERX1367167	ERR1295835	69265068	10459025268	HGDP00120
PRJEB6463	SAMEA2581034	ERX1367168	ERR1295836	64044834	9670769934	HGDP01249
PRJEB6463	SAMEA2581044	ERX1367169	ERR1295837	65262478	9854634178	HGDP01241
PRJEB6463	SAMEA2581063	ERX1367170	ERR1295838	61043426	9217557326	HGDP01220
PRJEB6463	SAMEA2581072	ERX1367171	ERR1295839	111809020	16883162020	HGDP01209
PRJEB6463	SAMEA2581088	ERX1367172	ERR1295840	60563076	9145024476	HGDP00750
PRJEB6463	SAMEA2581098	ERX1367173	ERR1295841	57818696	8730623096	HGDP00760
PRJEB6463	SAMEA2581107	ERX1367174	ERR1295842	80574600	12166764600	HGDP00769
PRJEB6463	SAMEA2581119	ERX1367175	ERR1295843	55415986	8367813886	HGDP00950
PRJEB6463	SAMEA2581129	ERX1367176	ERR1295844	57801534	8728031634	HGDP00960
PRJEB6463	SAMEA2581137	ERX1367177	ERR1295845	48862108	7378178308	HGDP00968
PRJEB6463	SAMEA2581153	ERX1367178	ERR1295846	55896372	8440352172	HGDP00104
PRJEB6463	SAMEA2581175	ERX1367179	ERR1295847	60964810	9205686310	HGDP00351
PRJEB6463	SAMEA2581036	ERX1367180	ERR1295848	76047984	11483245584	HGDP01251
PRJEB6463	SAMEA2581050	ERX1367181	ERR1295849	76183288	11503676488	HGDP01227
PRJEB6463	SAMEA2581064	ERX1367182	ERR1295850	72894398	11007054098	HGDP01221
PRJEB6463	SAMEA2581074	ERX1367183	ERR1295851	68727584	10377865184	HGDP01212
PRJEB6463	SAMEA2581089	ERX1367184	ERR1295852	69897836	10554573236	HGDP00751
PRJEB6463	SAMEA2581099	ERX1367185	ERR1295853	68518936	10346359336	HGDP00761
PRJEB6463	SAMEA2581108	ERX1367186	ERR1295854	67338782	10168156082	HGDP00771
PRJEB6463	SAMEA2581121	ERX1367187	ERR1295855	66026344	9969977944	HGDP00952
PRJEB6463	SAMEA2581130	ERX1367188	ERR1295856	64743432	9776258232	HGDP00961
PRJEB6463	SAMEA2581138	ERX1367189	ERR1295857	67335476	10167656876	HGDP00969
PRJEB6463	SAMEA2581155	ERX1367190	ERR1295858	65282216	9857614616	HGDP00106
PRJEB6463	SAMEA2581176	ERX1367191	ERR1295859	63668678	9613970378	HGDP00356
PRJEB6463	SAMEA2581037	ERX1367192	ERR1295860	72050616	10879643016	HGDP01233
PRJEB6463	SAMEA2581052	ERX1367193	ERR1295861	72257252	10910845052	HGDP01229
PRJEB6463	SAMEA2581065	ERX1367194	ERR1295862	67090754	10130703854	HGDP01222
PRJEB6463	SAMEA2581076	ERX1367195	ERR1295863	64717690	9772371190	HGDP00712
PRJEB6463	SAMEA2581092	ERX1367196	ERR1295864	65197710	9844854210	HGDP00754
PRJEB6463	SAMEA2581100	ERX1367197	ERR1295865	70158382	10593915682	HGDP00762
PRJEB6463	SAMEA2581109	ERX1367198	ERR1295866	64516148	9741938348	HGDP00772
